CMDLINE /opt/anaconda3/envs/aas2/bin/python /Users/noemivalentini/Desktop/deep_ga/cartpole/dqn/cartpole_dqn.py
MEM 0.011719 1706089514.5445
MEM 7.292969 1706089514.7404
MEM 9.117188 1706089514.8455
MEM 12.640625 1706089514.9476
MEM 17.367188 1706089515.0491
MEM 20.312500 1706089515.1539
MEM 22.312500 1706089515.2551
MEM 23.601562 1706089515.3557
MEM 24.761719 1706089515.4575
MEM 24.933594 1706089515.5578
MEM 26.968750 1706089515.6586
MEM 27.906250 1706089515.7598
MEM 29.375000 1706089515.8634
MEM 31.242188 1706089515.9646
MEM 34.726562 1706089516.0659
MEM 39.035156 1706089516.1692
MEM 44.410156 1706089516.2717
MEM 51.078125 1706089516.3752
MEM 60.519531 1706089516.4763
MEM 61.562500 1706089516.5813
MEM 63.050781 1706089516.6825
MEM 63.148438 1706089516.7836
MEM 63.214844 1706089516.8839
MEM 63.367188 1706089516.9853
MEM 64.312500 1706089517.0856
MEM 65.320312 1706089517.1873
MEM 65.886719 1706089517.2876
MEM 67.207031 1706089517.3924
MEM 69.773438 1706089517.4942
MEM 69.843750 1706089517.5985
MEM 70.289062 1706089517.7021
MEM 70.859375 1706089517.8025
MEM 71.429688 1706089517.9082
MEM 72.000000 1706089518.0113
MEM 72.859375 1706089518.1160
MEM 73.843750 1706089518.2168
MEM 73.910156 1706089518.3208
MEM 74.035156 1706089518.4254
MEM 74.421875 1706089518.5268
MEM 75.031250 1706089518.6319
MEM 75.726562 1706089518.7367
MEM 76.191406 1706089518.8377
MEM 77.093750 1706089518.9381
MEM 77.117188 1706089519.0423
MEM 77.160156 1706089519.1432
MEM 77.679688 1706089519.2485
MEM 78.046875 1706089519.3497
MEM 78.730469 1706089519.4506
MEM 79.070312 1706089519.5522
MEM 79.164062 1706089519.6525
MEM 79.269531 1706089519.7549
MEM 79.511719 1706089519.8596
MEM 80.179688 1706089519.9645
MEM 81.121094 1706089520.0674
MEM 81.777344 1706089520.1755
MEM 82.062500 1706089520.2810
MEM 82.218750 1706089520.3845
MEM 82.472656 1706089520.4885
MEM 82.820312 1706089520.5893
MEM 83.050781 1706089520.6907
MEM 83.687500 1706089520.7925
MEM 83.898438 1706089520.8960
MEM 83.980469 1706089520.9982
MEM 84.144531 1706089521.0994
MEM 84.355469 1706089521.2023
MEM 84.574219 1706089521.3044
MEM 84.636719 1706089521.4057
MEM 84.851562 1706089521.5062
MEM 85.164062 1706089521.6114
MEM 91.132812 1706089521.7117
MEM 91.355469 1706089521.8237
MEM 121.562500 1706089521.9253
MEM 133.667969 1706089522.0259
MEM 139.351562 1706089522.1274
MEM 141.792969 1706089522.2277
MEM 143.382812 1706089522.3285
MEM 146.304688 1706089522.4291
MEM 150.667969 1706089522.5367
MEM 152.066406 1706089522.6394
MEM 154.035156 1706089522.7408
MEM 156.300781 1706089522.8423
MEM 159.875000 1706089522.9432
MEM 162.082031 1706089523.0440
MEM 164.152344 1706089523.1498
MEM 168.210938 1706089523.2541
MEM 172.460938 1706089523.3568
MEM 176.089844 1706089523.4574
MEM 179.316406 1706089523.5578
MEM 182.804688 1706089523.6582
MEM 184.921875 1706089523.7625
MEM 188.929688 1706089523.8633
MEM 192.511719 1706089523.9672
MEM 195.859375 1706089524.0690
MEM 200.144531 1706089524.1696
MEM 205.386719 1706089524.2700
MEM 210.152344 1706089524.3732
MEM 214.183594 1706089524.4754
MEM 216.570312 1706089524.5763
MEM 220.660156 1706089524.6773
MEM 226.484375 1706089524.7796
MEM 228.460938 1706089524.8819
MEM 236.011719 1706089524.9837
MEM 236.921875 1706089525.0848
MEM 238.070312 1706089525.1859
MEM 239.546875 1706089525.2911
