CMDLINE /opt/anaconda3/envs/aas2/bin/python /Users/noemivalentini/Desktop/deep_ga/cartpole/ga/cart_run_ga.py
MEM 0.148438 1706233105.1229
MEM 13.113281 1706233105.2282
MEM 21.070312 1706233105.3295
MEM 28.105469 1706233105.4337
MEM 34.800781 1706233105.5389
MEM 40.156250 1706233105.6394
MEM 43.183594 1706233105.7423
MEM 50.890625 1706233105.8433
MEM 55.421875 1706233105.9445
MEM 59.625000 1706233106.0497
MEM 65.957031 1706233106.1517
MEM 107.109375 1706233106.2570
MEM 115.144531 1706233106.3579
MEM 122.242188 1706233106.4597
MEM 126.984375 1706233106.5599
MEM 132.218750 1706233106.6622
MEM 140.062500 1706233106.7625
MEM 143.500000 1706233106.8627
MEM 148.847656 1706233106.9640
MEM 153.382812 1706233107.0650
MEM 157.687500 1706233107.1653
MEM 161.218750 1706233107.2659
MEM 164.683594 1706233107.3692
MEM 168.496094 1706233107.4727
MEM 172.296875 1706233107.5745
MEM 174.843750 1706233107.6756
MEM 177.855469 1706233107.7762
MEM 181.816406 1706233107.8768
MEM 184.335938 1706233107.9772
MEM 192.039062 1706233108.0775
MEM 196.691406 1706233108.1779
MEM 200.832031 1706233108.2782
MEM 204.453125 1706233108.3798
MEM 207.562500 1706233108.4809
MEM 211.878906 1706233108.5862
MEM 217.054688 1706233108.6863
MEM 218.031250 1706233108.7871
MEM 219.187500 1706233108.8875
MEM 225.019531 1706233108.9928
MEM 226.203125 1706233109.0970
MEM 229.496094 1706233109.2005
MEM 233.230469 1706233109.3008
MEM 236.527344 1706233109.4012
MEM 238.859375 1706233109.5059
MEM 243.906250 1706233109.6062
MEM 248.902344 1706233109.7071
MEM 249.531250 1706233109.8086
MEM 251.300781 1706233109.9105
MEM 255.183594 1706233110.0109
MEM 262.078125 1706233110.1182
MEM 263.507812 1706233110.2228
MEM 263.656250 1706233110.3245
MEM 263.871094 1706233110.4285
MEM 263.960938 1706233110.5314
MEM 264.214844 1706233110.6341
MEM 264.820312 1706233110.7381
MEM 264.933594 1706233110.8433
MEM 265.164062 1706233110.9475
MEM 265.175781 1706233111.0479
MEM 265.187500 1706233111.1577
MEM 265.195312 1706233111.2581
MEM 265.523438 1706233111.3609
MEM 265.535156 1706233111.4662
MEM 265.562500 1706233111.5714
MEM 265.570312 1706233111.6728
MEM 265.789062 1706233111.7781
MEM 265.910156 1706233111.8814
MEM 265.960938 1706233111.9853
MEM 265.964844 1706233112.0888
MEM 265.976562 1706233112.1940
MEM 265.984375 1706233112.2959
MEM 265.992188 1706233112.4011
MEM 266.078125 1706233112.5014
MEM 266.082031 1706233112.6066
MEM 266.089844 1706233112.7105
MEM 266.101562 1706233112.8127
MEM 266.109375 1706233112.9179
MEM 266.113281 1706233113.0229
MEM 266.121094 1706233113.1248
MEM 266.125000 1706233113.2295
MEM 266.128906 1706233113.3331
MEM 266.136719 1706233113.4365
MEM 266.140625 1706233113.5417
MEM 266.152344 1706233113.6458
MEM 266.152344 1706233113.7501
MEM 266.160156 1706233113.8526
MEM 266.164062 1706233113.9538
MEM 266.171875 1706233114.0659
MEM 266.175781 1706233114.1711
MEM 266.179688 1706233114.2729
MEM 266.187500 1706233114.3756
MEM 266.195312 1706233114.4808
MEM 266.203125 1706233114.5837
MEM 266.203125 1706233114.6865
MEM 266.210938 1706233114.7916
MEM 266.218750 1706233114.8968
MEM 266.222656 1706233115.0020
MEM 266.222656 1706233115.1072
MEM 266.226562 1706233115.2109
MEM 266.226562 1706233115.3115
MEM 266.226562 1706233115.4120
MEM 266.226562 1706233115.5142
MEM 266.226562 1706233115.6168
MEM 266.226562 1706233115.7172
MEM 266.226562 1706233115.8202
MEM 266.226562 1706233115.9230
MEM 266.226562 1706233116.0231
MEM 266.226562 1706233116.1283
MEM 266.226562 1706233116.2335
MEM 266.226562 1706233116.3387
MEM 266.226562 1706233116.4413
MEM 266.226562 1706233116.5415
MEM 266.226562 1706233116.6468
MEM 266.226562 1706233116.7513
MEM 266.226562 1706233116.8565
MEM 266.226562 1706233116.9573
MEM 266.226562 1706233117.0625
MEM 266.226562 1706233117.1647
MEM 266.226562 1706233117.2699
MEM 266.226562 1706233117.3730
MEM 266.226562 1706233117.4782
MEM 266.226562 1706233117.5834
MEM 266.226562 1706233117.6866
MEM 266.226562 1706233117.7918
MEM 266.226562 1706233117.8968
MEM 266.226562 1706233118.0018
MEM 266.226562 1706233118.1070
MEM 266.226562 1706233118.2122
MEM 266.226562 1706233118.3133
MEM 266.226562 1706233118.4185
MEM 266.226562 1706233118.5192
MEM 266.226562 1706233118.6243
MEM 266.226562 1706233118.7295
MEM 266.226562 1706233118.8302
MEM 266.230469 1706233118.9307
MEM 266.230469 1706233119.0343
MEM 266.230469 1706233119.1367
MEM 266.230469 1706233119.2371
MEM 266.230469 1706233119.3423
MEM 266.230469 1706233119.4475
MEM 266.234375 1706233119.5520
MEM 266.234375 1706233119.6567
MEM 266.234375 1706233119.7619
MEM 266.234375 1706233119.8671
MEM 266.238281 1706233119.9720
MEM 266.238281 1706233120.0772
MEM 266.238281 1706233120.1824
MEM 266.242188 1706233120.2876
MEM 266.242188 1706233120.3894
MEM 266.242188 1706233120.4946
MEM 266.242188 1706233120.5950
MEM 266.242188 1706233120.7002
MEM 266.242188 1706233120.8017
MEM 266.242188 1706233120.9070
MEM 266.242188 1706233121.0081
MEM 266.242188 1706233121.1133
MEM 266.242188 1706233121.2185
MEM 266.242188 1706233121.3237
MEM 266.242188 1706233121.4287
MEM 266.246094 1706233121.5296
MEM 266.246094 1706233121.6348
MEM 266.246094 1706233121.7367
MEM 266.246094 1706233121.8399
MEM 266.246094 1706233121.9402
MEM 266.246094 1706233122.0454
MEM 266.246094 1706233122.1489
MEM 266.246094 1706233122.2515
MEM 266.246094 1706233122.3526
MEM 266.246094 1706233122.4539
MEM 266.246094 1706233122.5591
MEM 266.246094 1706233122.6643
MEM 266.246094 1706233122.7695
MEM 266.253906 1706233122.8732
MEM 266.253906 1706233122.9784
MEM 266.253906 1706233123.0785
MEM 266.253906 1706233123.1832
MEM 266.257812 1706233123.2868
MEM 266.261719 1706233123.3905
MEM 266.261719 1706233123.4910
MEM 266.261719 1706233123.5951
MEM 266.261719 1706233123.7004
