CMDLINE /opt/anaconda3/envs/aas2/bin/python /Users/noemivalentini/Desktop/deep_ga/cartpole/a2c/cartpole_a2c.py
MEM 0.011719 1706267869.5279
MEM 10.281250 1706267869.6282
MEM 17.617188 1706267869.7287
MEM 22.144531 1706267869.8321
MEM 23.082031 1706267869.9329
MEM 26.972656 1706267870.0353
MEM 30.667969 1706267870.1372
MEM 32.183594 1706267870.2376
MEM 35.386719 1706267870.3405
MEM 41.128906 1706267870.4426
MEM 48.078125 1706267870.5432
MEM 52.949219 1706267870.6484
MEM 57.957031 1706267870.7514
MEM 61.062500 1706267870.8534
MEM 93.582031 1706267870.9586
MEM 112.566406 1706267871.0602
MEM 117.496094 1706267871.1610
MEM 124.472656 1706267871.2662
MEM 130.617188 1706267871.3671
MEM 140.113281 1706267871.4673
MEM 146.578125 1706267871.5725
MEM 153.902344 1706267871.6730
MEM 161.246094 1706267871.7782
MEM 167.785156 1706267871.8834
MEM 173.867188 1706267871.9850
MEM 178.351562 1706267872.0891
MEM 183.476562 1706267872.1894
MEM 192.085938 1706267872.2902
MEM 197.187500 1706267872.3936
MEM 202.292969 1706267872.4986
MEM 207.421875 1706267872.6017
MEM 216.667969 1706267872.7023
MEM 216.667969 1706267872.8034
MEM 217.750000 1706267872.9039
MEM 219.316406 1706267873.0081
MEM 226.453125 1706267873.1136
MEM 232.078125 1706267873.2184
MEM 239.468750 1706267873.3199
MEM 241.527344 1706267873.4202
MEM 248.382812 1706267873.5226
MEM 254.101562 1706267873.6248
MEM 254.554688 1706267873.7298
MEM 255.093750 1706267873.8302
MEM 255.359375 1706267873.9398
MEM 255.445312 1706267874.0430
MEM 255.660156 1706267874.1455
MEM 262.593750 1706267874.2460
MEM 264.785156 1706267874.3486
MEM 265.003906 1706267874.4515
MEM 265.164062 1706267874.5531
MEM 266.082031 1706267874.6535
MEM 266.589844 1706267874.7949
MEM 271.410156 1706267874.8992
MEM 272.121094 1706267875.0031
MEM 272.222656 1706267875.1036
MEM 272.429688 1706267875.2058
MEM 274.144531 1706267875.3069
MEM 274.886719 1706267875.4113
MEM 275.527344 1706267875.5143
MEM 275.683594 1706267875.6161
MEM 276.593750 1706267875.7173
MEM 276.574219 1706267875.8176
MEM 276.625000 1706267875.9199
MEM 276.960938 1706267876.0223
MEM 276.984375 1706267876.1243
MEM 277.117188 1706267876.2247
MEM 277.718750 1706267876.3279
MEM 277.765625 1706267876.4288
MEM 278.167969 1706267876.5304
MEM 278.121094 1706267876.6356
MEM 278.171875 1706267876.7381
MEM 278.238281 1706267876.8414
MEM 278.238281 1706267876.9419
MEM 278.238281 1706267877.0425
MEM 278.269531 1706267877.1450
MEM 278.238281 1706267877.2486
MEM 278.238281 1706267877.3488
MEM 278.503906 1706267877.4522
MEM 278.503906 1706267877.5525
MEM 278.984375 1706267877.6535
MEM 278.953125 1706267877.7582
MEM 278.953125 1706267877.8615
MEM 279.507812 1706267877.9658
MEM 279.507812 1706267878.0684
MEM 279.570312 1706267878.1703
MEM 279.929688 1706267878.2744
MEM 279.953125 1706267878.3750
MEM 280.492188 1706267878.4754
MEM 280.546875 1706267878.5757
MEM 280.855469 1706267878.6766
MEM 280.792969 1706267878.7784
MEM 280.960938 1706267878.8810
MEM 281.222656 1706267878.9816
MEM 281.242188 1706267879.0829
MEM 281.273438 1706267879.1831
MEM 281.261719 1706267879.2847
MEM 281.261719 1706267879.3893
MEM 281.304688 1706267879.4924
MEM 281.304688 1706267879.5976
MEM 281.449219 1706267879.6991
MEM 281.417969 1706267879.7994
MEM 281.417969 1706267879.9046
MEM 281.761719 1706267880.0054
MEM 281.761719 1706267880.1063
MEM 282.093750 1706267880.2078
MEM 282.062500 1706267880.3124
